0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,39.0,41.0,43.0,47.0,51.0,55.0,52.0,51.0,48.0,48.0,46.0,46.0,46.0,43.0,44.0,5.0,4.0,5.0,5.0,7.0,37.0,38.0,39.0,38.0,36.0,37.0,35.0,36.0,35.0,34.0,9.0,34.0,34.0,38.0,42.0,0.0,2.0,4.0,9.0,37.0,37.0,37.0,40.0,42.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,37.0,36.0,41.0,43.0,49.0,54.0,37.0,47.0,34.0,37.0,40.0,0.0,4.0,8.0,7.0,7.0,6.0,42.0,43.0,4.0,35.0,40.0,0.0,6.0,34.0,36.0,43.0,1.0,3.0,3.0,6.0,8.0,35.0,36.0,36.0,37.0,41.0,1.0,4.0,5.0,6.0,9.0,37.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,51.0,48.0,50.0,50.0,50.0,54.0,38.0,37.0,42.0,49.0,34.0,40.0,41.0,1.0,3.0,2.0,3.0,5.0,7.0,36.0,40.0,41.0,41.0,3.0,4.0,9.0,8.0,35.0,40.0,3.0,5.0,3.0,8.0,34.0,8.0,5.0,6.0,8.0,34.0,37.0,36.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,40.0,43.0,46.0,47.0,52.0,52.0,55.0,38.0,39.0,39.0,38.0,39.0,39.0,40.0,37.0,39.0,35.0,37.0,39.0,3.0,8.0,36.0,0.0,8.0,34.0,37.0,42.0,40.0,41.0,40.0,39.0,40.0,38.0,36.0,36.0,42.0,41.0,42.0,3.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.0,50.0,46.0,48.0,47.0,45.0,43.0,38.0,37.0,39.0,38.0,39.0,37.0,37.0,40.0,41.0,40.0,37.0,36.0,35.0,8.0,7.0,7.0,8.0,6.0,8.0,35.0,41.0,2.0,0.0,1.0,3.0,7.0,40.0,41.0,41.0,1.0,2.0,1.0,43.0,41.0,39.0,42.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,47.0,48.0,48.0,50.0,52.0,34.0,40.0,1.0,4.0,5.0,7.0,9.0,38.0,3.0,1.0,4.0,5.0,34.0,9.0,9.0,36.0,38.0,42.0,7.0,34.0,38.0,41.0,39.0,41.0,43.0,1.0,2.0,1.0,0.0,5.0,6.0,5.0,4.0,6.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,42.0,43.0,38.0,34.0,49.0,49.0,48.0,44.0,40.0,38.0,38.0,38.0,41.0,43.0,3.0,3.0,43.0,37.0,37.0,37.0,37.0,34.0,8.0,8.0,7.0,4.0,3.0,4.0,4.0,8.0,5.0,3.0,4.0,6.0,37.0,37.0,36.0,38.0,39.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,53.0,52.0,36.0,35.0,37.0,35.0,40.0,43.0,42.0,1.0,5.0,7.0,7.0,8.0,9.0,35.0,9.0,8.0,7.0,9.0,35.0,36.0,35.0,37.0,41.0,43.0,2.0,3.0,4.0,35.0,38.0,40.0,40.0,42.0,0.0,43.0,0.0,43.0,0.0,1.0,44.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,320.0,35.0,36.0,41.0,48.0,52.0,52.0,35.0,36.0,37.0,46.0,5.0,9.0,4.0,0.0,1.0,1.0,0.0,3.0,6.0,8.0,39.0,38.0,1.0,0.0,2.0,7.0,7.0,7.0,6.0,6.0,5.0,3.0,4.0,3.0,2.0,0.0,41.0,38.0,1.0,2.0,3.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,48.0,50.0,52.0,49.0,48.0,48.0,51.0,53.0,35.0,37.0,40.0,41.0,43.0,5.0,8.0,10.0,0.0,6.0,9.0,35.0,37.0,41.0,41.0,40.0,42.0,1.0,5.0,5.0,5.0,8.0,8.0,39.0,3.0,9.0,35.0,40.0,39.0,44.0,2.0,2.0,2.0,0.0,2.0,6.0
