0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,304.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,40.0,,,,,293.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,436.0,8.0,40.0,,40.0,,,8.0,,,,,612.0,
,,,,238.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,,,,,,447.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,590.0,8.0,40.0,,40.0,,,8.0,,,,,568.0,
,,,,920.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,,,,40.0,,,,40.0,,,,40.0,,40.0,,,,,,,,40.0,,,,942.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,,,,,8.0,,,,,392.0,
,,,,282.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,,,,,942.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,106.0,8.0,40.0,,40.0,,,8.0,,,,,700.0,
,,,,370.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,40.0,,,,,799.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,612.0,8.0,40.0,,40.0,,,8.0,,,,,568.0,
,,,,832.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,40.0,,,,,,,,40.0,,,,,117.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,,40.0,8.0,,8.0,,,,,348.0,
,,,,480.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,,,,,40.0,,,,,,,,,,40.0,,,,,425.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,62.0,8.0,40.0,,,,,8.0,,,,,194.0,
,,,,216.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,,,,,,359.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,304.0,8.0,40.0,,,,,8.0,,,,,370.0,
,,,,678.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,,,40.0,,,,40.0,,,,40.0,,,,,,,,,,40.0,,,,898.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,370.0,8.0,40.0,,40.0,,,,,,,,480.0,
,,,,678.0,,40.0,8.0,40.0,8.0,40.0,8.0,40.0,8.0,40.0,,,,40.0,,,,40.0,,,,,,,,,,,,,,40.0,,,,,337.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,8.0,40.0,,40.0,,40.0,,40.0,,40.0,,40.0,8.0,40.0,8.0,414.0,8.0,40.0,,40.0,,,8.0,,,,,656.0,
